Pallet,Modelo,Estandar,Wave1,Wave2,Flux,Conveyor
136,P10,40,200,80,45,50
1,Lion Mite,20,0,0,0,0
2,Lion Mite,20,0,0,0,0
3,Lion Mite,20,0,0,0,0
4,Lion Mite,20,0,0,0,0
5,Lion Mite,20,0,0,0,0
6,Lion Mite,20,0,0,0,0
7,Lion Mite,20,0,0,0,0
8,Lion Mite,20,0,0,0,0
9,Lion Mite,20,0,0,0,0
10,Lion Mite,20,0,0,0,0
11,VERSA MAIN,25,0,0,0,0
12,VERSA MAIN,25,0,0,0,0
13,VERSA MAIN,25,0,0,0,0
14,VERSA MAIN,25,0,0,0,0
15,VERSA MAIN,25,0,0,0,0
16,VERSA SWITCH,80,0,0,0,0
17,VERSA SWITCH,80,0,0,0,0
18,VERSA SWITCH,80,0,0,0,0
19,VERSA SWITCH,80,0,0,0,0
20,VERSA SWITCH,80,0,0,0,0
26,BGA200,10,0,0,0,0
27,BGA200,9,0,0,0,0
28,BGA200,9,0,0,0,0
29,BGA200,9,0,0,0,0
30,FSA135,9,0,0,0,0
31,FSA135,9,0,0,0,0
32,FSA135,9,0,0,0,0
33,FSA135,9,0,0,0,0
34,FSA135,9,0,0,0,0
35,FA08,8,0,0,0,0
36,FA08,15,0,0,0,0
37,FA08,15,0,0,0,0
38,FA08,15,0,0,0,0
39,FA08,15,0,0,0,0
40,FA08,15,0,0,0,0
41,HLA,9,0,0,0,0
42,HLA,9,0,0,0,0
43,HLA,9,0,0,0,0
44,HLA,9,0,0,0,0
45,HLA,9,0,0,0,0
46,LOCUS,25,0,0,0,0
47,LOCUS,25,0,0,0,0
48,LOCUS,25,0,0,0,0
49,LOCUS,25,0,0,0,0
50,INHEMETER,8,0,0,0,0
51,FA08,15,0,0,0,0
52,FA08,15,0,0,0,0
56,ROTOZIP,30,0,0,0,0
57,ROTOZIP,30,0,0,0,0
65,DC-I,16,0,0,0,0
66,DC-I,16,0,0,0,0
67,DC-I,16,0,0,0,0
68,DC-I,16,0,0,0,0
69,DC-I,16,0,0,0,0
70,ROUTER,20,0,0,0,0
71,ROUTER,20,0,0,0,0
72,ROUTER,20,0,0,0,0
73,ROUTER,20,0,0,0,0
74,ROUTER,20,0,0,0,0
80,PR20,24,1400,1520,50,100
81,PR20,24,1400,1520,50,100
82,PR20,24,1400,1520,50,100
83,PR20,24,1400,1520,50,100
131,P10,40,2000,880,45,50
132,P10,40,2000,880,45,50
133,P10,40,2000,880,45,50
134,P10,40,2000,880,45,50
135,P10,40,2000,80,45,50
